id,outliers
0,64.94891
1,21.723083
2,31.67288
3,16.370619
4,45.293785
5,78.443535
6,13.257458
7,11.670048
8,33.59269
9,23.907345
10,11.288
11,22.523438
12,25.333874
13,9.006819
14,26.612242
15,17.754631
16,43.143475
17,16.591251
18,12.82104
19,15.989385
20,12.253706
21,12.84798
22,27.889555
23,20.746227
24,22.348122
25,25.520308
26,32.023834
27,26.012056
28,75.39683
29,14.609473
30,13.730784
31,17.495255
32,33.405922
33,29.87833
34,21.905952
35,27.910982
36,73.02286
37,10.404329
38,31.143003
39,21.777325
40,15.762949
41,10.8180485
42,31.063099
43,35.472202
44,14.667488
45,33.511734
46,13.427394
47,30.970222
48,7.2312884
49,16.806875
50,12.395315
51,11.24264
52,7.5057106
53,24.148716
54,28.186224
55,23.77377
56,15.563723
57,9.768821
58,99.61581
59,17.065498
60,19.36918
61,38.346634
62,11.782278
63,16.887194
64,48.92133
65,5.059797
66,22.357367
67,16.337715
68,27.945644
69,17.000229
70,22.484999
71,16.96968
72,36.08742
73,17.32617
74,21.562748
75,24.075062
76,10.185371
77,33.38086
78,38.144096
79,49.62165
80,14.277025
81,50.571358
82,13.773796
83,79.96504
84,56.30601
85,53.56717
86,7.097784
87,20.85343
88,20.493656
89,31.341234
90,18.344433
91,9.912015
92,37.390083
93,9.4534445
94,61.82244
95,29.597374
96,26.340971
97,27.864304
98,9.757208
99,28.352324
100,48.844406
101,9.659325
102,13.919183
103,17.69467
104,8.514439
105,41.56833
106,40.82779
107,22.127838
108,52.754135
109,18.367771
110,11.913105
111,21.682587
112,12.337203
113,15.421295
114,10.385866
115,16.332798
116,15.742942
117,12.153333
118,22.95998
119,21.757
120,73.15054
121,57.27553
122,15.977152
123,32.955353
124,12.156436
125,18.43461
126,28.65858
127,18.629625
128,8.691522
129,24.221453
130,21.354778
131,35.55247
132,23.818253
133,19.014004
134,35.07992
135,50.275043
136,14.469399
137,27.003359
138,15.759947
139,33.849854
140,25.26668
141,35.98375
142,30.872284
143,15.7288885
144,18.16972
145,10.948842
146,12.4751
147,16.966255
148,11.924816
149,16.413311
150,12.198241
151,12.7579155
152,17.747864
153,22.02666
154,10.389013
155,37.500435
156,12.843905
157,16.624176
158,25.891098
159,26.654284
160,15.637846
161,13.0498905
162,36.2889
163,22.692097
164,30.63892
165,14.739426
166,15.429436
167,20.954199
168,12.7958765
169,11.673786
170,13.156796
171,33.148438
172,10.777449
173,37.06788
174,28.564919
175,85.56511
176,17.234718
177,22.968933
178,32.779606
179,13.361614
180,44.67579
181,78.641075
182,12.274121
183,34.747704
184,71.71306
185,29.788532
186,44.16419
187,12.316378
188,27.183254
189,23.71094
190,22.304081
191,12.140484
192,46.926968
193,6.9419413
194,53.810562
195,40.286552
196,28.46218
197,21.430496
198,36.14163
199,38.53333
200,79.6586
201,16.608562
202,12.384958
203,39.906166
204,23.462627
205,32.579506
206,15.415749
207,28.02172
208,47.122337
209,18.166965
210,12.312109
211,33.030704
212,22.343866
213,13.864713
214,46.72166
215,23.088978
216,8.131606
217,15.374356
218,11.885083
219,32.661427
220,23.829174
221,21.678392
222,37.87313
223,17.525867
224,12.687796
225,12.180652
226,38.825287
227,29.675571
228,15.337767
229,21.332203
230,22.802662
231,17.806812
232,37.821136
233,28.151089
234,17.516672
235,10.96621
236,42.93303
237,17.375835
238,33.774887
239,18.75256
240,15.365101
241,15.150965
242,37.271515
243,14.2715435
244,24.079552
245,19.906878
246,14.519708
247,8.855555
248,8.246172
249,27.844143
250,15.092709
251,102.23216
252,10.092413
253,95.219376
254,5.377882
255,45.41778
256,38.692223
257,26.407032
258,28.925758
259,13.756534
260,47.215904
261,32.809456
262,22.459856
263,7.1101704
264,41.56066
265,52.823338
266,36.663124
267,20.292646
268,28.891785
269,18.280968
270,38.125206
271,25.89265
272,17.574627
273,18.406635
274,33.26387
275,22.60195
276,14.804748
277,34.314568
278,22.561028
279,18.872719
280,58.11846
281,13.495697
282,13.764822
283,19.145063
284,33.647175
285,26.540995
286,24.8763
287,8.518
288,9.14302
289,15.762844
290,60.626945
291,25.321814
292,34.74896
293,76.72366
294,38.30812
295,15.907481
296,27.065973
297,25.103941
298,25.2974
299,10.534539
300,7.0034475
301,22.163551
302,57.36071
303,19.968899
304,11.693593
305,30.244183
306,8.25586
307,13.351997
308,7.785661
309,4.848193
310,33.59153
311,43.374725
312,13.423952
313,20.362637
314,25.36354
315,10.330578
316,49.195892
317,13.21261
318,12.826432
319,27.493464
320,17.747768
321,15.943306
322,41.62984
323,42.417095
324,20.053123
325,20.464373
326,28.14071
327,25.499275
328,11.47315
329,12.217297
330,40.51415
331,67.9291
332,15.743387
333,22.356812
334,12.144129
335,15.905973
336,40.747322
337,25.617775
338,19.821533
339,15.182455
340,17.958317
341,13.992713
342,4.56329
343,12.564545
344,6.6385007
345,14.5004225
346,11.9461
347,32.100883
348,7.4976306
349,26.28033
350,12.778037
351,32.66866
352,28.403137
353,37.05756
354,31.676773
355,9.561342
356,10.708099
357,24.556137
358,34.016052
359,12.322214
360,16.660677
361,8.756636
362,4.5663176
363,24.579462
364,10.883579
365,19.802464
366,23.860415
367,24.462282
368,8.007087
369,36.67693
370,17.208828
371,13.686629
372,15.335674
373,27.89546
374,15.105629
375,10.219386
376,71.33464
377,18.472136
378,23.624695
379,11.582169
380,35.76607
381,12.878124
382,16.445126
383,13.758945
384,34.841812
385,44.7918
386,23.021233
387,15.105209
388,18.251827
389,53.198215
390,23.504345
391,14.509901
392,19.401943
393,32.265358
394,12.306622
395,25.822186
396,27.071415
397,28.458605
398,14.030883
399,14.934769
400,56.767006
401,6.0396514
402,25.240738
403,13.48036
404,22.292307
405,31.940065
406,11.54505
407,21.107521
408,86.65617
409,46.144173
410,23.335758
411,10.044992
412,54.527203
413,14.310172
414,23.227509
415,12.473218
416,13.284077
417,19.861769
418,15.837404
419,12.897187
420,31.633633
421,18.792364
422,17.042551
423,50.305504
424,43.68224
425,31.39201
426,41.4128
427,8.017887
428,18.696276
429,27.459011
430,12.268282
431,15.816597
432,17.063847
433,43.580235
434,52.121628
435,12.174116
436,20.429495
437,12.792908
438,19.75141
439,28.342962
440,42.224606
441,34.413673
442,15.153904
443,15.523945
444,10.57231
445,22.110779
446,66.03426
447,14.473084
448,6.6778545
449,30.284603
450,34.328346
451,23.307348
452,26.235006
453,29.63541
454,16.811686
455,15.405006
456,26.87732
457,10.624038
458,33.754395
459,39.81284
460,41.33007
461,22.672276
462,20.164608
463,32.71139
464,20.575386
465,14.455268
466,31.94222
467,23.104744
468,22.524296
469,16.85318
470,10.955422
471,22.46389
472,9.8295355
473,24.209724
474,19.320839
475,39.676815
476,16.270563
477,20.713644
478,9.9987755
479,24.065348
480,22.278313
481,26.578625
482,6.4046907
483,25.144299
484,17.01151
485,39.37404
486,29.107683
487,22.233562
488,23.253199
489,26.271763
490,24.99351
491,34.34138
492,33.848236
493,32.132233
494,17.363373
495,34.855286
496,10.659047
497,8.391782
498,22.998941
499,10.941943
500,40.17456
501,16.104424
502,15.009268
503,22.730742
504,30.699482
505,33.566273
506,20.291283
507,17.95491
508,27.277784
509,15.76745
510,5.058305
511,17.59692
512,7.7546606
513,26.700459
514,33.24004
515,79.26703
516,31.315807
517,37.223824
518,24.507008
519,42.202774
520,18.351871
521,14.8379135
522,13.732191
523,36.206223
524,8.92992
525,26.378452
526,14.213467
527,8.2568865
528,13.410586
529,36.28309
530,22.337132
531,40.55722
532,36.60195
533,7.9357066
534,23.999992
535,27.253628
536,9.662842
537,19.851501
538,43.065872
539,18.324705
540,20.077967
541,7.004815
542,114.93873
543,16.304234
544,20.576683
545,30.19104
546,24.99141
547,33.57887
548,22.504162
549,25.929506
550,51.000854
551,9.704907
552,20.117762
553,7.55084
554,37.352074
555,31.964262
556,43.04902
557,33.57849
558,40.072983
559,8.4928465
560,33.51619
561,24.050913
562,48.13068
563,19.18543
564,18.169092
565,17.738113
566,36.631283
567,30.996906
568,17.28242
569,30.05472
570,17.55132
571,22.262482
572,24.517342
573,31.962708
574,35.190567
575,9.594988
576,13.956337
577,29.595772
578,8.9364605
579,8.748533
580,12.501718
581,17.06442
582,23.856552
583,22.769573
584,30.566837
585,9.320363
586,30.088358
587,13.775125
588,43.076946
589,21.673286
590,58.14215
591,9.547294
592,22.095669
593,26.09304
594,18.223347
595,17.649298
596,15.638417
597,30.213383
598,18.944607
